dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,1282,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0056474227458238
iris-no-change,1282,changeforest_bs__model_selection_alpha=0.05,0.0,0.0,0.08,0.08,"[0, 50]","[0, 46, 50]",1,0.0103733241558074
iris-no-change,1282,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.000386506319046
iris-no-change,1282,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0003837570548057
iris-no-change,1282,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.0368563462980091
iris-no-change,1282,multirank,0.0,0.0,0.06,0.06,"[0, 50]","[0, 3, 50]",1,0.0269828769378364
iris-no-change,1282,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.003026464022696
glass-no-change,1282,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0083177518099546
glass-no-change,1282,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.008372361306101
glass-no-change,1282,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0007828027009963
glass-no-change,1282,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0007198737002909
glass-no-change,1282,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.0544439223594963
glass-no-change,1282,multirank,0.0,0.0,0.1447368421052631,0.1447368421052631,"[0, 76]","[0, 65, 76]",1,0.0391552569344639
glass-no-change,1282,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0062069781124591
wine-no-change,1282,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1244311351329088
wine-no-change,1282,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1353809949941933
wine-no-change,1282,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0988904950208962
wine-no-change,1282,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.1557081071659925
wine-no-change,1282,ecp,1.0,0.0,0.0,0.0,"[0, 2836]","[0.0, 2836.0]",0,53.20797295868397
wine-no-change,1282,multirank,0.0,0.0,0.4925952045133991,0.4925952045133991,"[0, 2836]","[0, 94, 95, 120, 235, 236, 248, 256, 257, 258, 311, 312, 830, 831, 868, 908, 916, 1396, 1397, 1496, 1497, 1517, 1518, 1667, 1668, 2022, 2024, 2525, 2526, 2538, 2584, 2585, 2586, 2768, 2773, 2836]",34,16.748310388065875
wine-no-change,1282,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.117416653316468
breast-cancer-no-change,1282,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0229346416890621
breast-cancer-no-change,1282,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0235492759384214
breast-cancer-no-change,1282,changekNN_bs,0.0,0.0,0.2096069868995633,0.2096069868995633,"[0, 458]","[0, 362, 458]",1,0.0208005891181528
breast-cancer-no-change,1282,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.2096069868995633,0.2096069868995633,"[0, 458]","[0, 10, 362, 458]",2,0.0240362021140754
breast-cancer-no-change,1282,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,1.071302113123238
breast-cancer-no-change,1282,multirank,0.0,0.0,0.4847161572052402,0.4847161572052402,"[0, 458]","[0, 8, 12, 13, 54, 55, 68, 69, 91, 93, 144, 147, 204, 205, 236, 239, 250, 251, 314, 315, 318, 322, 354, 361, 362, 364, 378, 379, 442, 443, 458]",29,0.5762119018472731
breast-cancer-no-change,1282,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0596174281090498
abalone-no-change,1282,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0452284268103539
abalone-no-change,1282,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0351066910661757
abalone-no-change,1282,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0521298008970916
abalone-no-change,1282,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0550083266571164
abalone-no-change,1282,ecp,1.0,0.0,0.0,0.0,"[0, 689]","[0.0, 689.0]",0,2.328102267347276
abalone-no-change,1282,multirank,0.0,0.0,0.4702467343976778,0.4702467343976778,"[0, 689]","[0, 54, 55, 56, 67, 68, 103, 104, 263, 264, 286, 287, 292, 293, 365, 366, 402, 403, 421, 422, 429, 430, 645, 646, 687, 688, 689]",25,1.2107833339832723
abalone-no-change,1282,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.101570873055607
dry-beans-no-change,1282,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.2621952686458826
dry-beans-no-change,1282,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.2500471998937428
dry-beans-no-change,1282,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.929010865744204
dry-beans-no-change,1282,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.9071057168766856
dry-beans-no-change,1282,ecp,1.0,0.0,0.0,0.0,"[0, 3546]","[0.0, 3546.0]",0,89.01963379886001
dry-beans-no-change,1282,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.801646626088768
change_in_mean-no-change,1282,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.016327366232872
change_in_mean-no-change,1282,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0139232650399208
change_in_mean-no-change,1282,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0042151450179517
change_in_mean-no-change,1282,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0038409680128097
change_in_mean-no-change,1282,ecp,1.0,0.0,0.0,0.0,"[0, 200]","[0.0, 200.0]",0,0.242797109298408
change_in_mean-no-change,1282,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1383690303191542
change_in_mean-no-change,1282,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0420709028840065
change_in_covariance-no-change,1282,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0162329860031604
change_in_covariance-no-change,1282,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.014361151959747
change_in_covariance-no-change,1282,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0059559210203588
change_in_covariance-no-change,1282,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0039356383495032
change_in_covariance-no-change,1282,ecp,1.0,0.0,0.0,0.0,"[0, 200]","[0.0, 200.0]",0,0.2452049390412867
change_in_covariance-no-change,1282,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1402064436115324
change_in_covariance-no-change,1282,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0419148649089038
dirichlet-no-change,1282,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0155277219600975
dirichlet-no-change,1282,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.020116914063692
