dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris,397,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.0293290792033076
iris,397,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.0054242322221398
iris,397,ecp,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0.0, 50.0, 100.0, 150.0]",2,0.4932623030617833
iris,397,multirank,0.8695479146768545,0.0,0.1466666666666666,0.1466666666666666,"[0, 50, 100, 150]","[0, 28, 50, 100, 150]",3,0.1663238396868109
iris,397,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.0378119340166449
iris,397,kernseg_linear,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.1056184684857726
glass,397,changeforest_bs,0.9958848708360344,0.0,0.0186915887850467,0.0186915887850467,"[0, 9, 26, 102, 172, 201, 214]","[0, 9, 26, 102, 172, 201, 210, 214]",6,0.0721903136000037
glass,397,changekNN_bs,0.9062398395814264,0.02803738317757,0.02803738317757,0.02803738317757,"[0, 9, 26, 102, 172, 201, 214]","[0, 9, 32, 102, 105, 172, 200, 210, 214]",7,0.013110002502799
glass,397,ecp,0.2875044410665337,0.3271028037383177,0.0233644859813084,0.3271028037383177,"[0, 9, 26, 102, 172, 201, 214]","[0.0, 172.0, 206.0, 214.0]",2,0.9882067842409016
glass,397,multirank,0.6585502445234759,0.0046728971962616,0.1775700934579439,0.1775700934579439,"[0, 9, 26, 102, 172, 201, 214]","[0, 7, 9, 27, 28, 32, 64, 65, 99, 101, 102, 108, 172, 183, 184, 185, 192, 193, 197, 201, 206, 208, 209, 214]",22,0.2557554105296731
glass,397,kernseg_rbf,0.6999611405852924,0.0794392523364486,0.1448598130841121,0.1448598130841121,"[0, 9, 26, 102, 172, 201, 214]","[0, 9, 101, 133, 172, 200, 214]",5,0.0566618116572499
glass,397,kernseg_linear,0.2814914666896147,0.0046728971962616,0.1775700934579439,0.1775700934579439,"[0, 9, 26, 102, 172, 201, 214]","[0, 5, 7, 9, 19, 25, 27, 30, 32, 47, 49, 52, 54, 57, 59, 64, 66, 82, 84, 88, 90, 94, 96, 99, 102, 109, 114, 119, 131, 133, 172, 177, 179, 181, 183, 185, 191, 193, 196, 198, 200, 202, 206, 208, 210, 214]",44,0.1477702492848038
wine,397,changeforest_bs,0.9990440558145708,0.000464252553389,0.000464252553389,0.000464252553389,"[0, 2836, 4974, 6053, 6269, 6462]","[0, 2837, 4974, 6050, 6269, 6462]",4,1.3385606734082105
wine,397,changekNN_bs,0.9862771447597276,0.003868771278242,0.003868771278242,0.003868771278242,"[0, 2836, 4974, 6053, 6269, 6462]","[0, 2811, 4975, 6053, 6269, 6462]",4,6.46472988743335
