dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=2__random_forest_max_features=1,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.011677296133711934
iris,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=2__random_forest_max_features=default,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.01179834408685565
iris,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=2__random_forest_max_features=None,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.011385886929929256
iris,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=8__random_forest_max_features=1,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.011080298805609345
iris,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=8__random_forest_max_features=default,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.01038243412040174
iris,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=8__random_forest_max_features=None,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.012491380795836449
iris,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=None__random_forest_max_features=1,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.010345243848860264
iris,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=None__random_forest_max_features=default,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.010595582891255617
iris,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=None__random_forest_max_features=None,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.012692769058048725
iris,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=2__random_forest_max_features=1,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.014745255932211876
iris,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=2__random_forest_max_features=default,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.01410429016686976
iris,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=2__random_forest_max_features=None,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.019388447050005198
iris,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=8__random_forest_max_features=1,0.8298814928076458,0.0,0.08666666666666667,0.08666666666666667,"[0, 50, 100, 150]","[0, 13, 37, 50, 100, 150]",4,0.029207224026322365
iris,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=8__random_forest_max_features=default,0.8375808390457438,0.0,0.1,0.1,"[0, 50, 100, 150]","[0, 15, 41, 50, 100, 150]",4,0.029532400891184807
iris,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=8__random_forest_max_features=None,0.9711339101330156,0.0,0.02,0.02,"[0, 50, 100, 150]","[0, 3, 50, 100, 150]",3,0.023654630174860358
iris,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=None__random_forest_max_features=1,0.8298814928076458,0.0,0.08666666666666667,0.08666666666666667,"[0, 50, 100, 150]","[0, 13, 37, 50, 100, 150]",4,0.030127127887681127
iris,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=None__random_forest_max_features=default,0.8375808390457438,0.0,0.1,0.1,"[0, 50, 100, 150]","[0, 15, 41, 50, 100, 150]",4,0.03272956097498536
iris,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=None__random_forest_max_features=None,0.9711339101330156,0.0,0.02,0.02,"[0, 50, 100, 150]","[0, 3, 50, 100, 150]",3,0.02560109691694379
iris,250,changeforest_bs__random_forest_n_estimators=500__random_forest_max_depth=2__random_forest_max_features=1,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.03594026085920632
iris,250,changeforest_bs__random_forest_n_estimators=500__random_forest_max_depth=2__random_forest_max_features=default,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.03954177792184055
iris,250,changeforest_bs__random_forest_n_estimators=500__random_forest_max_depth=2__random_forest_max_features=None,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.044237249065190554
iris,250,changeforest_bs__random_forest_n_estimators=500__random_forest_max_depth=8__random_forest_max_features=1,0.8991243812186035,0.0,0.08666666666666667,0.08666666666666667,"[0, 50, 100, 150]","[0, 37, 50, 100, 150]",3,0.08011328987777233
iris,250,changeforest_bs__random_forest_n_estimators=500__random_forest_max_depth=8__random_forest_max_features=default,0.8298814928076458,0.0,0.08666666666666667,0.08666666666666667,"[0, 50, 100, 150]","[0, 13, 37, 50, 100, 150]",4,0.09549253201112151
iris,250,changeforest_bs__random_forest_n_estimators=500__random_forest_max_depth=8__random_forest_max_features=None,0.9103644402562819,0.0,0.07333333333333333,0.07333333333333333,"[0, 50, 100, 150]","[0, 39, 50, 100, 150]",3,0.08465793100185692
iris,250,changeforest_bs__random_forest_n_estimators=500__random_forest_max_depth=None__random_forest_max_features=1,0.8991243812186035,0.0,0.08666666666666667,0.08666666666666667,"[0, 50, 100, 150]","[0, 37, 50, 100, 150]",3,0.08754301303997636
iris,250,changeforest_bs__random_forest_n_estimators=500__random_forest_max_depth=None__random_forest_max_features=default,0.8991243812186035,0.0,0.08666666666666667,0.08666666666666667,"[0, 50, 100, 150]","[0, 37, 50, 100, 150]",3,0.08192407782189548
iris,250,changeforest_bs__random_forest_n_estimators=500__random_forest_max_depth=None__random_forest_max_features=None,0.9103644402562819,0.0,0.07333333333333333,0.07333333333333333,"[0, 50, 100, 150]","[0, 39, 50, 100, 150]",3,0.08527884702198207
glass,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=2__random_forest_max_features=1,0.9814063594150481,0.009345794392523364,0.009345794392523364,0.009345794392523364,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 105, 173, 188, 197, 214]",5,0.023047063034027815
glass,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=2__random_forest_max_features=default,0.9671727078753057,0.009345794392523364,0.009345794392523364,0.009345794392523364,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 107, 175, 188, 197, 214]",5,0.019996671937406063
glass,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=2__random_forest_max_features=None,1.0,0.0,0.0,0.0,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 105, 175, 188, 197, 214]",5,0.023153173038735986
glass,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=8__random_forest_max_features=1,0.9671727078753057,0.009345794392523364,0.009345794392523364,0.009345794392523364,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 107, 175, 188, 197, 214]",5,0.028354478999972343
glass,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=8__random_forest_max_features=default,0.9868710310229858,0.014018691588785047,0.014018691588785047,0.014018691588785047,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 105, 175, 186, 200, 214]",5,0.02443010383285582
glass,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=8__random_forest_max_features=None,0.9671727078753057,0.009345794392523364,0.009345794392523364,0.009345794392523364,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 107, 175, 188, 197, 214]",5,0.029063605004921556
glass,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=None__random_forest_max_features=1,0.9671727078753057,0.009345794392523364,0.009345794392523364,0.009345794392523364,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 107, 175, 188, 197, 214]",5,0.02442173520103097
glass,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=None__random_forest_max_features=default,0.9671727078753057,0.009345794392523364,0.009345794392523364,0.009345794392523364,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 107, 175, 188, 197, 214]",5,0.02409654692746699
glass,250,changeforest_bs__random_forest_n_estimators=20__random_forest_max_depth=None__random_forest_max_features=None,0.9671727078753057,0.009345794392523364,0.009345794392523364,0.009345794392523364,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 107, 175, 188, 197, 214]",5,0.02801803103648126
glass,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=2__random_forest_max_features=1,0.9931324001494594,0.0,0.02336448598130841,0.02336448598130841,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 105, 175, 188, 197, 209, 214]",6,0.03651226800866425
glass,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=2__random_forest_max_features=default,0.9931324001494594,0.0,0.02336448598130841,0.02336448598130841,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 105, 175, 188, 197, 209, 214]",6,0.03735392214730382
glass,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=2__random_forest_max_features=None,0.9671295091354694,0.009345794392523364,0.009345794392523364,0.009345794392523364,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 103, 175, 188, 197, 214]",5,0.044050920056179166
glass,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=8__random_forest_max_features=1,0.9765292475082807,0.004672897196261682,0.02336448598130841,0.02336448598130841,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 104, 175, 188, 197, 209, 214]",6,0.05199254886247218
glass,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=8__random_forest_max_features=default,0.9931324001494594,0.0,0.02336448598130841,0.02336448598130841,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 105, 175, 188, 197, 209, 214]",6,0.060984871815890074
glass,250,changeforest_bs__random_forest_n_estimators=100__random_forest_max_depth=8__random_forest_max_features=None,1.0,0.0,0.0,0.0,"[0, 29, 105, 175, 188, 197, 214]","[0, 29, 105, 175, 188, 197, 214]",5,0.06535739405080676
