dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris,395,kernseg_rbf__gamma=0.025,0.79289454589959,0.0,0.11333333333333333,0.11333333333333333,"[0, 50, 100, 150]","[0, 12, 33, 50, 97, 100, 150]",5,0.020531396963633597
iris,395,kernseg_rbf__gamma=0.05,0.8067814901523921,0.0,0.08,0.08,"[0, 50, 100, 150]","[0, 12, 39, 50, 97, 100, 150]",5,0.019818164000753313
iris,395,kernseg_rbf__gamma=0.1,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.022365219017956406
iris,395,kernseg_rbf__gamma=0.2,1.0,0.0,0.0,0.0,"[0, 50, 100, 150]","[0, 50, 100, 150]",2,0.019981211982667446
iris,395,kernseg_rbf__gamma=0.4,0.97993200471804,0.006666666666666667,0.006666666666666667,0.006666666666666667,"[0, 50, 100, 150]","[0, 50, 99, 150]",2,0.020363147952593863
iris,395,kernseg_rbf__gamma=0.8,0.97993200471804,0.006666666666666667,0.006666666666666667,0.006666666666666667,"[0, 50, 100, 150]","[0, 50, 99, 150]",2,0.020375718013383448
iris,395,kernseg_linear,0.79289454589959,0.0,0.11333333333333333,0.11333333333333333,"[0, 50, 100, 150]","[0, 12, 33, 50, 97, 100, 150]",5,0.0562250729999505
iris,395,kernseg_cosine,0.028283773272922093,0.0,0.16666666666666666,0.16666666666666666,"[0, 50, 100, 150]","[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 134, 136, 138, 140, 142, 144, 146, 148, 150]",73,0.019119911012239754
glass,395,kernseg_rbf__gamma=0.025,0.8507794230473507,0.0794392523364486,0.0,0.0794392523364486,"[0, 29, 46, 122, 131, 144, 214]","[0, 29, 122, 144, 214]",3,0.036624506989028305
glass,395,kernseg_rbf__gamma=0.05,0.8507794230473507,0.0794392523364486,0.0,0.0794392523364486,"[0, 29, 46, 122, 131, 144, 214]","[0, 29, 122, 144, 214]",3,0.037510007969103754
glass,395,kernseg_rbf__gamma=0.1,0.8507794230473507,0.0794392523364486,0.0,0.0794392523364486,"[0, 29, 46, 122, 131, 144, 214]","[0, 29, 122, 144, 214]",3,0.04004629299743101
glass,395,kernseg_rbf__gamma=0.2,0.19503833369632423,0.42990654205607476,0.0,0.42990654205607476,"[0, 29, 46, 122, 131, 144, 214]","[0, 29, 214]",1,0.04050934896804392
glass,395,kernseg_rbf__gamma=0.4,0.19503833369632423,0.42990654205607476,0.0,0.42990654205607476,"[0, 29, 46, 122, 131, 144, 214]","[0, 29, 214]",1,0.038785695971455425
glass,395,kernseg_rbf__gamma=0.8,0.0,0.42990654205607476,0.0,0.42990654205607476,"[0, 29, 46, 122, 131, 144, 214]","[0, 214]",0,0.04037304001394659
glass,395,kernseg_linear,0.5651389631004149,0.028037383177570093,0.16822429906542055,0.16822429906542055,"[0, 29, 46, 122, 131, 144, 214]","[0, 6, 14, 16, 29, 37, 40, 54, 56, 60, 62, 71, 74, 79, 82, 89, 91, 100, 102, 112, 114, 117, 119, 122, 126, 128, 130, 132, 134, 136, 139, 141, 144, 214]",32,0.11713908100500703
glass,395,kernseg_cosine,0.03134017274148266,0.004672897196261682,0.17289719626168223,0.17289719626168223,"[0, 29, 46, 122, 131, 144, 214]","[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 29, 31, 33, 35, 37, 39, 41, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 71, 74, 76, 78, 80, 82, 85, 87, 89, 91, 93, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 117, 119, 122, 124, 126, 128, 130, 132, 134, 136, 139, 141, 144, 146, 148, 150, 152, 154, 156, 158, 160, 162, 164, 166, 168, 170, 173, 175, 177, 179, 182, 184, 186, 188, 191, 193, 195, 197, 199, 201, 203, 205, 207, 209, 211, 214]",99,0.03557378804543987
wine,395,kernseg_rbf__gamma=0.025,0.9767259676635609,0.02955741256576911,0.00030950170225936243,0.02955741256576911,"[0, 216, 1295, 1488, 4324, 6462]","[0, 216, 1486, 4325, 6462]",3,5.673167904024012
wine,395,kernseg_rbf__gamma=0.05,0.9767259676635609,0.02955741256576911,0.00030950170225936243,0.02955741256576911,"[0, 216, 1295, 1488, 4324, 6462]","[0, 216, 1486, 4325, 6462]",3,5.763832416967489
wine,395,kernseg_rbf__gamma=0.1,0.9767259676635609,0.02955741256576911,0.00030950170225936243,0.02955741256576911,"[0, 216, 1295, 1488, 4324, 6462]","[0, 216, 1486, 4325, 6462]",3,5.758305483032018
wine,395,kernseg_rbf__gamma=0.2,0.975815997390303,0.030331166821417517,0.00046425255338904364,0.030331166821417517,"[0, 216, 1295, 1488, 4324, 6462]","[0, 216, 1491, 4323, 6462]",3,5.764682270993944
wine,395,kernseg_rbf__gamma=0.4,0.975815997390303,0.030331166821417517,0.00046425255338904364,0.030331166821417517,"[0, 216, 1295, 1488, 4324, 6462]","[0, 216, 1491, 4323, 6462]",3,5.650555900996551
wine,395,kernseg_rbf__gamma=0.8,0.9468127852710448,0.033426183844011144,0.00046425255338904364,0.033426183844011144,"[0, 216, 1295, 1488, 4324, 6462]","[0, 1491, 4323, 6462]",2,5.691030580957886
wine,395,kernseg_linear,0.6549515952233486,0.02955741256576911,0.14144227793252864,0.14144227793252864,"[0, 216, 1295, 1488, 4324, 6462]","[0, 11, 13, 216, 1486, 2400, 2402, 4325, 4672, 4674, 4860, 4866, 6462]",11,3.13722290401347
wine,395,kernseg_cosine,0.18107586226538247,0.009285051067780872,0.20133085731971526,0.20133085731971526,"[0, 216, 1295, 1488, 4324, 6462]","[0, 11, 13, 72, 105, 176, 178, 216, 329, 331, 1355, 1486, 1703, 1706, 1883, 1889, 2077, 2079, 2279, 2281, 2284, 2365, 2367, 2392, 2394, 2400, 2402, 2528, 2530, 3023, 3028, 3127, 3129, 3625, 3627, 3852, 3854, 3938, 3940, 3980, 3982, 3990, 4170, 4174, 4176, 4341, 4355, 4361, 4374, 4376, 4383, 4385, 4390, 4394, 4473, 4475, 4672, 4674, 4860, 4862, 4864, 4866, 4920, 4922, 4958, 4964, 5022, 5024, 5030, 5032, 5076, 5083, 5253, 5255, 5328, 5439, 5444, 5447, 5449, 5603, 5607, 5637, 5841, 5844, 5947, 5949, 5969, 5971, 6119, 6121, 6128, 6131, 6135, 6137, 6152, 6154, 6300, 6304, 6454, 6456, 6462]",99,4.835922293015756
breast-cancer,395,kernseg_rbf__gamma=0.025,1.0,0.0,0.0,0.0,"[0, 458, 699]","[0, 458, 699]",1,0.08611342799849808
breast-cancer,395,kernseg_rbf__gamma=0.05,1.0,0.0,0.0,0.0,"[0, 458, 699]","[0, 458, 699]",1,0.0869212499819696
breast-cancer,395,kernseg_rbf__gamma=0.1,1.0,0.0,0.0,0.0,"[0, 458, 699]","[0, 458, 699]",1,0.08482471096795052
breast-cancer,395,kernseg_rbf__gamma=0.2,0.5768531896998099,0.0,0.2703862660944206,0.2703862660944206,"[0, 458, 699]","[0, 269, 283, 458, 699]",3,0.08481957099866122
